id,scientificName,taxonRank,kingdom,family,vernacularName,individualCount,lifeStage,longitudeDecimal,latitudeDecimal,continent,country,locality,references,eventDate,year
177132724@OBS,Agelaius phoeniceus,species,Animalia,ICTERIDS_ICTERIDAE,Red-winged Blackbird,1,unknown,-122.510235048945,51.9357818831242,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132724,2019-07-28,2019
177132690@OBS,Neotamias amoenus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Yellow-pine Chipmunk,1,unknown,-121.81591574114,52.4011512659978,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132690,2019-07-27,2019
177132685@OBS,Antigone canadensis,species,Animalia,CRANES_GRUIDAE,Sandhill Crane,2,unknown,-121.831527957806,52.394346417908,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132685,2019-07-27,2019
177132678@OBS,Piranga ludoviciana,species,Animalia,GROSBEAKS_SALTATORS_ALLIES_CARDINALIDAE,Western Tanager,6,unknown,-121.822354216242,52.3953470075991,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132678,2019-07-27,2019
177132663@OBS,Tyrannus tyrannus,species,Animalia,TYRANT_FLYCATCHERS_TYRANNIDAE,Eastern Kingbird,4,unknown,-121.826875414813,52.3923620023321,North America,Canada,Williams Lake (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177132663,2019-07-27,2019
177132651@OBS,Pandion haliaetus,species,Animalia,OSPREY_PANDIONIDAE,Western Osprey,1,unknown,-121.973301563526,50.6691466458614,North America,Canada,Vancouver,https://data.biodiversitydata.nl/obsint/observation/OBS.177132651,2019-07-26,2019
177132638@OBS,Ursus americanus,species,Animalia,BEARS_URSIDAE,American Black Bear,2,unknown,-122.952665845047,50.1045843540226,North America,Canada,Vancouver,https://data.biodiversitydata.nl/obsint/observation/OBS.177132638,2019-07-25,2019
177125074@OBS,Branta canadensis,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Canada Goose,1,unknown,-117.639765,52.728945,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177125074,2019-07-13,2019
177125056@OBS,Molothrus ater,species,Animalia,ICTERIDS_ICTERIDAE,Brown-headed Cowbird,1,unknown,-117.640115,52.7293133333333,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177125056,2019-07-13,2019
177125041@OBS,Pandion haliaetus,species,Animalia,OSPREY_PANDIONIDAE,Western Osprey,1,unknown,-117.639675,52.72899,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177125041,2019-07-13,2019
177125025@OBS,Ursus americanus,species,Animalia,BEARS_URSIDAE,American Black Bear,1,juvenile,-117.644391666667,52.7282666666667,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177125025,2019-07-13,2019
177124774@OBS,Perisoreus canadensis,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Canada Jay,1,unknown,-117.692788333333,52.7197233333333,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177124774,2019-07-13,2019
177124117@OBS,Urocitellus columbianus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,Columbian Ground Squirrel,1,unknown,-117.688605,52.7056266666667,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177124117,2019-07-13,2019
177123747@OBS,Perisoreus canadensis,species,Animalia,CROWS_AND_JAYS_CORVIDAE,Canada Jay,1,unknown,-117.687868333333,52.716205,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177123747,2019-07-13,2019
177122088@OBS,Tamiasciurus hudsonicus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,American Red Squirrel,1,unknown,-117.643463333333,52.7267066666667,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177122088,2019-07-13,2019
177122058@OBS,Haliaeetus leucocephalus,species,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Bald Eagle,1,unknown,-117.798036666667,52.8726683333333,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177122058,2019-07-13,2019
177122039@OBS,Cervus canadensis,species,Animalia,DEER_CERVIDAE,American Elk,1,unknown,-118.536203333333,52.8590183333333,North America,Canada,Mount Robson Provincial Park,https://data.biodiversitydata.nl/obsint/observation/OBS.177122039,2019-07-13,2019
177121707@OBS,Hesperiphona vespertina,species,Animalia,FINCHES_FRINGILLIDAE,Evening Grosbeak,1,unknown,-119.439183333333,52.9764766666667,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177121707,2019-07-13,2019
177121257@OBS,Tachycineta thalassina,species,Animalia,SWALLOWS_HIRUNDINIDAE,Violet-green Swallow,1,unknown,-119.43942,52.9756466666667,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177121257,2019-07-13,2019
177121245@OBS,Tamiasciurus hudsonicus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,American Red Squirrel,1,unknown,-119.439175,52.9756583333333,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177121245,2019-07-13,2019
177120206@OBS,Bombycilla cedrorum,species,Animalia,WAXWINGS_BOMBYCILLIDAE,Cedar Waxwing,1,unknown,-119.439433333333,52.97571,North America,Canada,British Columbia (BC),https://data.biodiversitydata.nl/obsint/observation/OBS.177120206,2019-07-12,2019
177120141@OBS,Tamiasciurus hudsonicus,species,Animalia,SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE,American Red Squirrel,1,unknown,-118.013018333333,52.92399,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177120141,2019-07-12,2019
177119900@OBS,Ursus americanus,species,Animalia,BEARS_URSIDAE,American Black Bear,2,unknown,-118.05288333,52.81907167,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177119900,2019-07-12,2019
177119532@OBS,Turdus migratorius,species,Animalia,THRUSHES_TURDIDAE,American Robin,1,unknown,-118.013183333333,52.812545,North America,Canada,Jasper National Park of Canada,https://data.biodiversitydata.nl/obsint/observation/OBS.177119532,2019-07-12,2019
